Area,Age,Year at 30 June,Sex,Value
Manawatu-Wanganui region,5-9 Years,2014,Female,7830
Taranaki region,5-9 Years,2011,Female,3600
Taranaki region,5-9 Years,2013,Female,3880
Manawatu-Wanganui region,5-9 Years,2009,Female,7670
Taranaki region,5-9 Years,2015,Female,4170
Taranaki region,5-9 Years,2014,Female,4010
Taranaki region,5-9 Years,2012,Female,3700
Wellington region,5-9 Years,2006,Female,15240
Manawatu-Wanganui region,5-9 Years,2008,Female,7680
Manawatu-Wanganui region,5-9 Years,2010,Female,7600
Taranaki region,5-9 Years,2009,Female,3600
Manawatu-Wanganui region,5-9 Years,2011,Female,7520
Taranaki region,5-9 Years,2010,Female,3580
Taranaki region,5-9 Years,2008,Female,3640
Hawke's Bay region,5-9 Years,2015,Female,5960
Hawke's Bay region,5-9 Years,2013,Female,5610
Hawke's Bay region,5-9 Years,2012,Female,5470
Hawke's Bay region,5-9 Years,2014,Female,5720
Gisborne region,5-9 Years,2013,Female,1890
Gisborne region,5-9 Years,2015,Female,2000
Gisborne region,5-9 Years,2014,Female,1940
Gisborne region,5-9 Years,2012,Female,1890
Manawatu-Wanganui region,5-9 Years,2006,Female,7960
Taranaki region,5-9 Years,2007,Female,3700
Manawatu-Wanganui region,5-9 Years,2007,Female,7800
Taranaki region,5-9 Years,2006,Female,3690
Gisborne region,5-9 Years,2011,Female,1840
Gisborne region,5-9 Years,2009,Female,1840
Hawke's Bay region,5-9 Years,2009,Female,5580
Hawke's Bay region,5-9 Years,2011,Female,5490
Hawke's Bay region,5-9 Years,2008,Female,5580
Hawke's Bay region,5-9 Years,2010,Female,5480
Gisborne region,5-9 Years,2010,Female,1840
Gisborne region,5-9 Years,2008,Female,1850
Bay of Plenty region,5-9 Years,2013,Female,9760
Bay of Plenty region,5-9 Years,2015,Female,10140
Bay of Plenty region,5-9 Years,2014,Female,9900
Bay of Plenty region,5-9 Years,2012,Female,9630
Hawke's Bay region,5-9 Years,2006,Female,5620
Gisborne region,5-9 Years,2007,Female,1850
Hawke's Bay region,5-9 Years,2007,Female,5650
Gisborne region,5-9 Years,2006,Female,1930
Bay of Plenty region,5-9 Years,2010,Female,9580
Waikato region,5-9 Years,2013,Female,15150
Bay of Plenty region,5-9 Years,2011,Female,9560
Waikato region,5-9 Years,2011,Female,14570
Waikato region,5-9 Years,2015,Female,15840
Waikato region,5-9 Years,2014,Female,15440
Waikato region,5-9 Years,2010,Female,14470
Waikato region,5-9 Years,2012,Female,14780
Bay of Plenty region,5-9 Years,2006,Female,9720
Waikato region,5-9 Years,2009,Female,14460
Waikato region,5-9 Years,2007,Female,14350
Bay of Plenty region,5-9 Years,2007,Female,9660
Bay of Plenty region,5-9 Years,2009,Female,9620
Bay of Plenty region,5-9 Years,2008,Female,9530
Waikato region,5-9 Years,2008,Female,14350
Waikato region,5-9 Years,2006,Female,14320
Auckland region,5-9 Years,2011,Female,47920
Auckland region,5-9 Years,2015,Female,52190
Auckland region,5-9 Years,2014,Female,50700
Southland region,0-4 Years,2013,Female,3210
Auckland region,5-9 Years,2013,Female,49660
Auckland region,5-9 Years,2012,Female,48720
Southland region,0-4 Years,2011,Female,3340
Southland region,0-4 Years,2015,Female,3060
Southland region,0-4 Years,2012,Female,3310
Southland region,0-4 Years,2014,Female,3200
Waikato region,10-14 Years,2009,Male,15540
Waikato region,10-14 Years,2012,Male,15660
Waikato region,10-14 Years,2007,Male,15740
Waikato region,10-14 Years,2008,Male,15620
Waikato region,10-14 Years,2006,Male,16080
Waikato region,10-14 Years,2011,Male,15690
Waikato region,10-14 Years,2013,Male,15350
Waikato region,10-14 Years,2014,Male,15230
Waikato region,10-14 Years,2015,Male,15180
Bay of Plenty region,10-14 Years,2009,Male,10540
Bay of Plenty region,10-14 Years,2010,Male,10760
Bay of Plenty region,10-14 Years,2006,Male,10950
Bay of Plenty region,10-14 Years,2011,Male,10820
Bay of Plenty region,10-14 Years,2007,Male,10670
Bay of Plenty region,10-14 Years,2008,Male,10510
Bay of Plenty region,10-14 Years,2012,Male,10770
Bay of Plenty region,10-14 Years,2013,Male,10540
Bay of Plenty region,10-14 Years,2014,Male,10390
Bay of Plenty region,10-14 Years,2015,Male,10360
Gisborne region,10-14 Years,2013,Male,2040
Gisborne region,10-14 Years,2012,Male,2030
Gisborne region,10-14 Years,2011,Male,2000
Gisborne region,10-14 Years,2014,Male,2060
Gisborne region,10-14 Years,2009,Male,1980
Gisborne region,10-14 Years,2010,Male,1980
Gisborne region,10-14 Years,2006,Male,2140
Gisborne region,10-14 Years,2007,Male,2010
Gisborne region,10-14 Years,2008,Male,1980
Hawke's Bay region,10-14 Years,2008,Male,6160
Hawke's Bay region,10-14 Years,2007,Male,6210
Hawke's Bay region,10-14 Years,2006,Male,6380
Hawke's Bay region,10-14 Years,2010,Male,6160
Hawke's Bay region,10-14 Years,2009,Male,6140
Hawke's Bay region,10-14 Years,2014,Male,5840
Hawke's Bay region,10-14 Years,2011,Male,6100
Hawke's Bay region,10-14 Years,2012,Male,6030
Hawke's Bay region,10-14 Years,2013,Male,5850
Taranaki region,10-14 Years,2010,Male,4000
Taranaki region,10-14 Years,2011,Male,4050
Taranaki region,10-14 Years,2006,Male,4270
Taranaki region,10-14 Years,2007,Male,4060
Taranaki region,10-14 Years,2009,Male,3950
Taranaki region,10-14 Years,2008,Male,3990
Gisborne region,10-14 Years,2015,Male,2070
Hawke's Bay region,10-14 Years,2015,Male,5760
Taranaki region,10-14 Years,2015,Male,3950
Taranaki region,10-14 Years,2012,Male,4040
Taranaki region,10-14 Years,2014,Male,3950
Taranaki region,10-14 Years,2013,Male,4020
Manawatu-Wanganui region,10-14 Years,2013,Male,8060
Manawatu-Wanganui region,10-14 Years,2014,Male,7910
Manawatu-Wanganui region,10-14 Years,2012,Male,8220
Manawatu-Wanganui region,10-14 Years,2011,Male,8400
Manawatu-Wanganui region,10-14 Years,2007,Male,8820
Manawatu-Wanganui region,10-14 Years,2008,Male,8620
Manawatu-Wanganui region,10-14 Years,2006,Male,9100
Manawatu-Wanganui region,10-14 Years,2009,Male,8560
Manawatu-Wanganui region,10-14 Years,2010,Male,8540
Wellington region,10-14 Years,2009,Male,15930
Wellington region,10-14 Years,2008,Male,16090
Wellington region,10-14 Years,2006,Male,16400
Wellington region,10-14 Years,2007,Male,16220
Wellington region,10-14 Years,2010,Male,15910
Manawatu-Wanganui region,10-14 Years,2015,Male,7690
Wellington region,10-14 Years,2013,Male,15700
Wellington region,10-14 Years,2015,Male,15540
Wellington region,10-14 Years,2014,Male,15690
Wellington region,10-14 Years,2012,Male,15830
Wellington region,10-14 Years,2011,Male,15930
Tasman region,10-14 Years,2006,Male,1880
Tasman region,10-14 Years,2009,Male,1810
Tasman region,10-14 Years,2008,Male,1800
Tasman region,10-14 Years,2007,Male,1850
Tasman region,10-14 Years,2011,Male,1870
Tasman region,10-14 Years,2010,Male,1850
Tasman region,10-14 Years,2012,Male,1840
Tasman region,10-14 Years,2013,Male,1800
Tasman region,10-14 Years,2014,Male,1810
Tasman region,10-14 Years,2015,Male,1790
Nelson region,10-14 Years,2015,Male,1550
Nelson region,10-14 Years,2013,Male,1600
Nelson region,10-14 Years,2014,Male,1610
Nelson region,10-14 Years,2011,Male,1610
Nelson region,10-14 Years,2012,Male,1640
Nelson region,10-14 Years,2010,Male,1570
Nelson region,10-14 Years,2009,Male,1510
Nelson region,10-14 Years,2006,Male,1590
Nelson region,10-14 Years,2007,Male,1530
Nelson region,10-14 Years,2008,Male,1510
Marlborough region,10-14 Years,2006,Male,1500
Marlborough region,10-14 Years,2007,Male,1450
Marlborough region,10-14 Years,2008,Male,1430
West Coast region,10-14 Years,2008,Male,1140
West Coast region,10-14 Years,2007,Male,1180
West Coast region,10-14 Years,2006,Male,1270
Canterbury region,10-14 Years,2008,Male,18740
Canterbury region,10-14 Years,2007,Male,18770
Canterbury region,10-14 Years,2006,Male,18880
Northland region,15-19 Years,2006,Male,5840
Canterbury region,10-14 Years,2009,Male,18740
Marlborough region,10-14 Years,2015,Male,1310
Marlborough region,10-14 Years,2014,Male,1340
Marlborough region,10-14 Years,2011,Male,1360
Marlborough region,10-14 Years,2013,Male,1320
Marlborough region,10-14 Years,2012,Male,1350
Marlborough region,10-14 Years,2010,Male,1380
Marlborough region,10-14 Years,2009,Male,1410
West Coast region,10-14 Years,2009,Male,1120
West Coast region,10-14 Years,2010,Male,1070
West Coast region,10-14 Years,2012,Male,1060
West Coast region,10-14 Years,2013,Male,1050
West Coast region,10-14 Years,2011,Male,1070
West Coast region,10-14 Years,2014,Male,1020
West Coast region,10-14 Years,2015,Male,1000
Canterbury region,10-14 Years,2011,Male,18420
Canterbury region,10-14 Years,2010,Male,18950
Canterbury region,10-14 Years,2012,Male,17980
Canterbury region,10-14 Years,2013,Male,17880
Canterbury region,10-14 Years,2014,Male,17830
Canterbury region,10-14 Years,2015,Male,17720
Otago region,10-14 Years,2006,Male,6360
Auckland region,15-19 Years,2007,Male,53520
Auckland region,15-19 Years,2006,Male,53090
Otago region,10-14 Years,2007,Male,6240
Otago region,10-14 Years,2008,Male,6200
Southland region,10-14 Years,2007,Male,3540
Southland region,10-14 Years,2006,Male,3730
Northland region,15-19 Years,2007,Male,5930
Northland region,15-19 Years,2008,Male,5920
Northland region,15-19 Years,2009,Male,5810
Northland region,15-19 Years,2010,Male,5850
Northland region,15-19 Years,2011,Male,5780
Northland region,15-19 Years,2012,Male,5720
Northland region,15-19 Years,2013,Male,5750
Northland region,15-19 Years,2014,Male,5760
Northland region,15-19 Years,2015,Male,5710
Otago region,10-14 Years,2013,Male,6210
Otago region,10-14 Years,2015,Male,6240
Otago region,10-14 Years,2009,Male,6200
Otago region,10-14 Years,2014,Male,6180
Otago region,10-14 Years,2011,Male,6270
Otago region,10-14 Years,2010,Male,6200
Otago region,10-14 Years,2012,Male,6280
Southland region,10-14 Years,2012,Male,3370
Southland region,10-14 Years,2010,Male,3360
Southland region,10-14 Years,2009,Male,3350
Southland region,10-14 Years,2008,Male,3410
Southland region,10-14 Years,2014,Male,3280
Southland region,10-14 Years,2011,Male,3340
Southland region,10-14 Years,2013,Male,3310
Southland region,10-14 Years,2015,Male,3290
Auckland region,15-19 Years,2008,Male,54220
Auckland region,15-19 Years,2009,Male,54650
Auckland region,15-19 Years,2010,Male,55430
Auckland region,15-19 Years,2011,Male,55690
Auckland region,15-19 Years,2012,Male,55740
Auckland region,15-19 Years,2013,Male,55460
Auckland region,15-19 Years,2014,Male,55860
Auckland region,15-19 Years,2015,Male,56830
Waikato region,15-19 Years,2006,Male,15250
Waikato region,15-19 Years,2011,Male,15580
Waikato region,15-19 Years,2013,Male,15750
Waikato region,15-19 Years,2014,Male,15930
Waikato region,15-19 Years,2010,Male,15570
Waikato region,15-19 Years,2008,Male,15530
Waikato region,15-19 Years,2007,Male,15480
Waikato region,15-19 Years,2012,Male,15540
Bay of Plenty region,15-19 Years,2006,Male,9840
Waikato region,15-19 Years,2009,Male,15560
Bay of Plenty region,15-19 Years,2007,Male,9950
Waikato region,15-19 Years,2015,Male,16130
Bay of Plenty region,15-19 Years,2013,Male,9670
Bay of Plenty region,15-19 Years,2008,Male,9990
Bay of Plenty region,15-19 Years,2010,Male,9780
Bay of Plenty region,15-19 Years,2011,Male,9630
Bay of Plenty region,15-19 Years,2009,Male,9890
Bay of Plenty region,15-19 Years,2012,Male,9540
Gisborne region,15-19 Years,2006,Male,1900
Gisborne region,15-19 Years,2007,Male,1910
Gisborne region,15-19 Years,2013,Male,1770
Gisborne region,15-19 Years,2008,Male,1920
Gisborne region,15-19 Years,2009,Male,1860
Gisborne region,15-19 Years,2010,Male,1830
Gisborne region,15-19 Years,2011,Male,1820
Gisborne region,15-19 Years,2012,Male,1760
Hawke's Bay region,15-19 Years,2006,Male,5740
Hawke's Bay region,15-19 Years,2007,Male,5710
Hawke's Bay region,15-19 Years,2008,Male,5640
Bay of Plenty region,15-19 Years,2015,Male,10190
Bay of Plenty region,15-19 Years,2014,Male,9930
Gisborne region,15-19 Years,2015,Male,1770
Gisborne region,15-19 Years,2014,Male,1770
Hawke's Bay region,15-19 Years,2011,Male,5570
Hawke's Bay region,15-19 Years,2012,Male,5590
Hawke's Bay region,15-19 Years,2010,Male,5510
Hawke's Bay region,15-19 Years,2009,Male,5530
Taranaki region,15-19 Years,2007,Male,4190
Taranaki region,15-19 Years,2006,Male,4150
Taranaki region,15-19 Years,2008,Male,4110
Taranaki region,15-19 Years,2009,Male,4060
Taranaki region,15-19 Years,2012,Male,3740
Taranaki region,15-19 Years,2010,Male,3960
Manawatu-Wanganui region,15-19 Years,2011,Male,8700
Manawatu-Wanganui region,15-19 Years,2012,Male,8650
Taranaki region,15-19 Years,2011,Male,3810
Manawatu-Wanganui region,15-19 Years,2009,Male,8890
Manawatu-Wanganui region,15-19 Years,2008,Male,9050
Manawatu-Wanganui region,15-19 Years,2010,Male,8750
Manawatu-Wanganui region,15-19 Years,2013,Male,8550
Manawatu-Wanganui region,15-19 Years,2006,Male,9270
Manawatu-Wanganui region,15-19 Years,2007,Male,9170
Hawke's Bay region,15-19 Years,2015,Male,5750
Hawke's Bay region,15-19 Years,2013,Male,5700
Hawke's Bay region,15-19 Years,2014,Male,5710
Taranaki region,15-19 Years,2014,Male,3770
Taranaki region,15-19 Years,2015,Male,3850
Manawatu-Wanganui region,15-19 Years,2015,Male,8730
Manawatu-Wanganui region,15-19 Years,2014,Male,8750
Wellington region,15-19 Years,2012,Male,17000
Taranaki region,15-19 Years,2013,Male,3770
Wellington region,15-19 Years,2011,Male,17010
Wellington region,15-19 Years,2010,Male,16980
Wellington region,15-19 Years,2009,Male,16860
Wellington region,15-19 Years,2006,Male,16970
Wellington region,15-19 Years,2008,Male,16710
Wellington region,15-19 Years,2007,Male,16860
Wellington region,15-19 Years,2014,Male,16580
Wellington region,15-19 Years,2015,Male,16570
Wellington region,15-19 Years,2013,Male,16970
Tasman region,15-19 Years,2009,Male,1560
Tasman region,15-19 Years,2011,Male,1590
Tasman region,15-19 Years,2010,Male,1570
Tasman region,15-19 Years,2006,Male,1560
Tasman region,15-19 Years,2007,Male,1620
Tasman region,15-19 Years,2008,Male,1620
Nelson region,15-19 Years,2008,Male,1600
Nelson region,15-19 Years,2007,Male,1650
Nelson region,15-19 Years,2006,Male,1650
Nelson region,15-19 Years,2010,Male,1520
Nelson region,15-19 Years,2011,Male,1520
Nelson region,15-19 Years,2009,Male,1550
Marlborough region,15-19 Years,2006,Male,1510
Marlborough region,15-19 Years,2007,Male,1500
Marlborough region,15-19 Years,2008,Male,1480
Tasman region,15-19 Years,2012,Male,1620
Tasman region,15-19 Years,2013,Male,1640
Tasman region,15-19 Years,2014,Male,1690
Tasman region,15-19 Years,2015,Male,1700
Nelson region,15-19 Years,2015,Male,1660
Nelson region,15-19 Years,2014,Male,1600
Nelson region,15-19 Years,2013,Male,1590
Nelson region,15-19 Years,2012,Male,1540
Marlborough region,15-19 Years,2009,Male,1420
Marlborough region,15-19 Years,2010,Male,1400
West Coast region,15-19 Years,2008,Male,1180
West Coast region,15-19 Years,2007,Male,1150
West Coast region,15-19 Years,2006,Male,1080
West Coast region,15-19 Years,2010,Male,1110
West Coast region,15-19 Years,2009,Male,1140
Canterbury region,15-19 Years,2008,Male,20100
Canterbury region,15-19 Years,2007,Male,20110
Canterbury region,15-19 Years,2006,Male,19950
Canterbury region,15-19 Years,2010,Male,20310
Canterbury region,15-19 Years,2009,Male,20210
Marlborough region,15-19 Years,2011,Male,1360
Marlborough region,15-19 Years,2013,Male,1270
Marlborough region,15-19 Years,2014,Male,1260
Marlborough region,15-19 Years,2012,Male,1290
Marlborough region,15-19 Years,2015,Male,1290
West Coast region,15-19 Years,2015,Male,930
West Coast region,15-19 Years,2012,Male,1020
West Coast region,15-19 Years,2014,Male,980
West Coast region,15-19 Years,2013,Male,1000
Canterbury region,15-19 Years,2015,Male,21010
Canterbury region,15-19 Years,2012,Male,19770
West Coast region,15-19 Years,2011,Male,1070
Canterbury region,15-19 Years,2011,Male,19860
Canterbury region,15-19 Years,2014,Male,20560
Canterbury region,15-19 Years,2013,Male,19940
Otago region,15-19 Years,2009,Male,7850
Otago region,15-19 Years,2006,Male,8120
Otago region,15-19 Years,2007,Male,8080
Otago region,15-19 Years,2008,Male,7950
Northland region,20-24 Years,2008,Male,3820
Northland region,20-24 Years,2006,Male,3610
Northland region,20-24 Years,2007,Male,3750
Auckland region,20-24 Years,2006,Male,53540
Auckland region,20-24 Years,2007,Male,52620
Auckland region,20-24 Years,2008,Male,51840
Southland region,15-19 Years,2009,Male,3420
Southland region,15-19 Years,2008,Male,3460
Southland region,15-19 Years,2007,Male,3450
Southland region,15-19 Years,2006,Male,3450
Northland region,20-24 Years,2010,Male,4100
Northland region,20-24 Years,2009,Male,3980
Auckland region,20-24 Years,2010,Male,53530
Auckland region,20-24 Years,2009,Male,52300
Otago region,15-19 Years,2012,Male,8010
Otago region,15-19 Years,2010,Male,7870
Otago region,15-19 Years,2011,Male,7960
Otago region,15-19 Years,2013,Male,8080
Otago region,15-19 Years,2015,Male,8200
Otago region,15-19 Years,2014,Male,8100
Northland region,20-24 Years,2012,Male,4140
Northland region,20-24 Years,2011,Male,4180
Northland region,20-24 Years,2014,Male,4330
Southland region,15-19 Years,2010,Male,3380
Northland region,20-24 Years,2015,Male,4650
Auckland region,20-24 Years,2012,Male,57290
Northland region,20-24 Years,2013,Male,4190
Auckland region,20-24 Years,2011,Male,55680
Auckland region,20-24 Years,2014,Male,62660
Auckland region,20-24 Years,2013,Male,59380
Auckland region,20-24 Years,2015,Male,67130
Southland region,15-19 Years,2015,Male,3130
Southland region,15-19 Years,2013,Male,3220
Southland region,15-19 Years,2014,Male,3190
Southland region,15-19 Years,2011,Male,3370
Southland region,15-19 Years,2012,Male,3290
Waikato region,20-24 Years,2006,Male,13580
Waikato region,20-24 Years,2007,Male,13540
Waikato region,20-24 Years,2008,Male,13660
Waikato region,20-24 Years,2009,Male,13970
Waikato region,20-24 Years,2011,Male,14520
Waikato region,20-24 Years,2010,Male,14260
Bay of Plenty region,20-24 Years,2006,Male,6690
Bay of Plenty region,20-24 Years,2007,Male,6710
Waikato region,20-24 Years,2015,Male,16300
Waikato region,20-24 Years,2012,Male,14730
Waikato region,20-24 Years,2014,Male,15410
Waikato region,20-24 Years,2013,Male,14750
Bay of Plenty region,20-24 Years,2009,Male,7140
Bay of Plenty region,20-24 Years,2008,Male,6820
Bay of Plenty region,20-24 Years,2010,Male,7420
Bay of Plenty region,20-24 Years,2011,Male,7710
Gisborne region,20-24 Years,2006,Male,1200
Bay of Plenty region,20-24 Years,2012,Male,7780
Bay of Plenty region,20-24 Years,2013,Male,7770
Bay of Plenty region,20-24 Years,2014,Male,8050
Bay of Plenty region,20-24 Years,2015,Male,8420
Gisborne region,20-24 Years,2008,Male,1240
Gisborne region,20-24 Years,2008,Female,1340
